"Offset","Ptr","Line"
"0x81DEE0","0x1002ACE0","102"
"0x78DD4E","0x1002ACE4","106"
"0x618C2F","0x1002ACE8","110"
"0x8F068C","0x1002ACEC","114"
"0x798EAC","0x1002ACF0","118"
"0x79B85F","0x1002ACF4","122"
"0x79B86D","0x1002ACF8","126"
"0x5D4260","0x1002ACFC","130"
"0x799279","0x1002AD00","134"
"0x79928C","0x1002AD04","138"
"0x7CAFA0","0x1002AD08","142"
"0x7680D6","0x1002AD0C","146"
"0x76810E","0x1002AD10","150"
"0x7A31D9","0x1002AD14","154"
"0x7A35C0","0x1002AD18","158"
"0x752A82","0x1002AD1C","162"
"0x752D00","0x1002AD20","166"
"0x7CB412","0x1002AD24","170"
"0x799116","0x1002AD28","174"
"0x79916B","0x1002AD2C","178"
"0x799377","0x1002AD30","182"
"0x79937E","0x1002AD34","186"
"0x7C9DE0","0x1002AD38","190"
"0x89E8C8","0x1002AD3C","194"
"0x7CB500","0x1002AD40","198"
"0x7CB540","0x1002AD44","202"
"0x7998AB","0x1002AD48","206"
"0x7998B4","0x1002AD4C","210"
"0x7997A9","0x1002AD50","214"
"0x7997B2","0x1002AD54","218"
"0x79987C","0x1002AD58","222"
"0x7997B7","0x1002AD5C","226"
"0x7D3360","0x1002AD60","230"
"0x4200B0","0x1002AD64","234"
"0x7A4440","0x1002AD68","254"
"0x7A4412","0x1002AD6C","258"
"0x7CABF0","0x1002AD70","262"
"0x7CABA0","0x1002AD74","266"
"0x945470","0x1002AD78","270"
"0x56F900","0x1002AD7C","274"
"0x742D50","0x1002AD80","278"
"0x94555C","0x1002AD84","282"
"0x79D6B1","0x1002AD88","286"
"0x79D6B9","0x1002AD8C","290"
"0x79D691","0x1002AD90","294"
"0x79D699","0x1002AD94","298"
"0x81CB40","0x1002AD98","302"
"0x945478","0x1002AD9C","306"
"0x79920A","0x1002ADA0","310"
"0x79932B","0x1002ADA4","314"
"0x416EF0","0x1002ADA8","318"
"0x7CB0C0","0x1002ADAC","322"
"0x7A3130","0x1002ADB0","326"
"0x799774","0x1002ADB4","330"
"0x799789","0x1002ADB8","334"
"0x7A3BD0","0x1002ADBC","338"
"0x7A4260","0x1002ADC0","342"
"0x945574","0x1002ADC4","346"
"0x7A311E","0x1002ADC8","350"
"0x7A313E","0x1002ADCC","354"
"0x7A3D63","0x1002ADD0","358"
"0x7CC750","0x1002ADD4","362"
"0x76B7A0","0x1002ADD8","366"
"0x76BA00","0x1002ADDC","370"
"0x94548C","0x1002ADE0","390"
"0x766900","0x1002ADE4","394"
"0x7A3F80","0x1002ADE8","398"
"0x7A4070","0x1002ADEC","402"
"0x79A4F4","0x1002ADF0","406"
"0x798BD9","0x1002ADF4","410"
"0x798BE6","0x1002ADF8","414"
"0x481EA0","0x1002ADFC","418"
"0x481AF0","0x1002AE00","422"
"0x766C4A","0x1002AE04","426"
"0x766C52","0x1002AE08","430"
"0x920168","0x1002AE0C","434"
"0x821390","0x1002AE10","438"
"0x7A47B0","0x1002AE14","442"
"0x5771B0","0x1002AE18","446"
"0x62480B","0x1002AE1C","450"
"0x62491F","0x1002AE20","454"
"0x625052","0x1002AE24","458"
"0x743C05","0x1002AE40","497"
"0x743C30","0x1002AE44","501"
"0x73E71C","0x1002AE48","505"
"0x73E748","0x1002AE4C","509"
"0x742560","0x1002AE50","513"
"0x73F430","0x1002AE54","517"
"0x73F435","0x1002AE58","521"
"0x7D2110","0x1002AE5C","525"
"0x7C2480","0x1002AE60","529"
"0x7CC390","0x1002AE64","533"
"0x7D2870","0x1002AE68","537"
"0x7C2F10","0x1002AE6C","541"
"0x7C2E80","0x1002AE70","545"
"0x7C2950","0x1002AE74","549"
"0x7CC660","0x1002AE78","553"
"0x7CC5C0","0x1002AE7C","557"
"0x7C23E0","0x1002AE80","561"
"0x7C23C0","0x1002AE84","565"
"0x7CB1A0","0x1002AE88","569"
"0x9456D0","0x1002AE8C","573"
"0x7D0A2F","0x1002AE90","577"
"0x7D0A35","0x1002AE94","581"
"0x94557C","0x1002AE98","585"
"0x9C8F60","0x1002AE9C","589"
"0x6247A0","0x1002AEA0","593"
"0x7A6913","0x1002AEA4","597"
"0x7A691A","0x1002AEA8","601"
"0x7A42F5","0x1002AEAC","605"
"0x7A430B","0x1002AEB0","609"
"0x7527E0","0x1002AEB4","613"
"0x7A1FAD","0x1002AEB8","617"
"0x7A1FB2","0x1002AEBC","621"
"0x664865","0x1002AEC0","625"
"0x664755","0x1002AEC4","629"
"0x7A39DF","0x1002AEC8","633"
"0x7A3A1D","0x1002AECC","637"
"0x769C3D","0x1002AED0","641"
"0x7A18F8","0x1002AED4","653"
"0x7A1907","0x1002AED8","657"
"0x76A397","0x1002AEDC","661"
"0x0FFFFFFC8","0x1002AF60","17897"
